,Reporting Area,MMWR Year,"Coccidioidomycosis, Cum Current Year","Coccidioidomycosis, Cum Previous Year",TAVG,PRCP
328,OREGON,2018,8.11111111111111,7.4375,48.4416666666667,2.1175
329,OREGON,2019,1.6,5.636363636363637,47.1416666666667,2.5025
330,OREGON,2020,5.0,2.5,48.825,2.39666666666667
331,OREGON,2021,3.933333333333333,5.214285714285714,48.3083333333333,2.45833333333333
342,RHODE ISLAND,2014,2.0,,49.7416666666667,3.93666666666667
344,RHODE ISLAND,2016,1.0,,52.2083333333333,3.43833333333333
346,RHODE ISLAND,2018,2.4166666666666665,1.4761904761904763,51.5583333333333,5.265
347,RHODE ISLAND,2019,1.0,2.4,50.625,4.75916666666667
362,SOUTH DAKOTA,2016,3.3823529411764706,,48.35,1.72333333333333
365,SOUTH DAKOTA,2019,4.5,,42.3416666666667,2.61583333333333
378,UTAH,2014,18.215686274509803,20.306122448979593,50.4416666666667,1.11083333333333
379,UTAH,2015,16.886363636363637,22.76923076923077,50.7333333333333,1.28416666666667
380,UTAH,2016,12.634146341463415,29.22,50.2333333333333,1.17
381,UTAH,2017,24.953488372093023,17.666666666666668,50.725,1.06916666666667
382,UTAH,2018,4.0,40.53061224489796,50.4,0.965
383,UTAH,2019,43.75,30.685714285714287,47.875,1.41166666666667
384,UTAH,2020,17.5,37.54761904761905,50.3833333333333,0.603333333333333
385,UTAH,2021,22.954545454545453,27.177777777777777,49.5333333333333,0.95
423,WISCONSIN,2014,2.2857142857142856,3.1346153846153846,40.225,3.09
424,WISCONSIN,2015,4.46875,4.208333333333333,44.8166666666667,2.99
425,WISCONSIN,2016,3.096774193548387,5.65,46.1916666666667,3.2825
426,WISCONSIN,2017,1.3043478260869565,8.145833333333334,44.7166666666667,3.13083333333333
427,WISCONSIN,2018,5.3478260869565215,5.134615384615385,43.2083333333333,3.31166666666667
428,WISCONSIN,2019,2.909090909090909,14.714285714285714,42.1416666666667,3.7125
429,WISCONSIN,2020,1.6666666666666667,6.909090909090909,44.825,2.84916666666667
430,WISCONSIN,2021,5.0,14.772727272727273,42.8583333333333,2.69
432,WYOMING,2014,1.8235294117647058,1.8958333333333333,42.125,1.5075
433,WYOMING,2015,5.195652173913044,1.7941176470588236,44.1583333333333,1.3925
434,WYOMING,2016,1.0,6.653061224489796,43.9083333333333,1.44
435,WYOMING,2017,5.518518518518518,1.0,43.1916666666667,1.555
436,WYOMING,2018,1.0,6.714285714285714,42.4083333333333,1.34333333333333
437,WYOMING,2019,1.0,2.0,40.275,1.52833333333333
