Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
SOUTH DAKOTA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210127,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,20210128,
DISTRICT OF COLUMBIA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20210130,POINT (-77.016275 38.904785)
GEORGIA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20210132,POINT (-83.426574 32.638481)
IOWA,2021,39,,-,1,,,-,,-,,N,,NC,,N,,N,IOWA,,20213921,POINT (-93.500061 42.074659)
US RESIDENTS,2021,2,,-,1,,,-,,-,343,,427,,671,,405,,,US RESIDENTS,20210201,
NEW HAMPSHIRE,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20210206,POINT (-71.57139 43.680429)
NEW YORK,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20210211,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2021,2,,-,0,,,-,,-,,-,3,,1,,1,,,WEST SOUTH CENTRAL,20210243,
NEBRASKA,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,NEBRASKA,,20210225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,2,,-,0,,,-,,-,,-,1,,,-,1,,,EAST SOUTH CENTRAL,20210238,
NORTH DAKOTA,2021,2,,-,0,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,20210226,POINT (-100.46931 47.446305)
ILLINOIS,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20210215,POINT (-89.148632 40.124144)
IOWA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20210221,POINT (-93.500061 42.074659)
TEXAS,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20210247,POINT (-99.317341 31.447238)
DISTRICT OF COLUMBIA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20210230,POINT (-77.016275 38.904785)
NEW ENGLAND,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20210202,
RHODE ISLAND,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20210207,POINT (-71.534637 41.572574)
DELAWARE,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20210229,POINT (-75.452394 38.994926)
ALABAMA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20210239,POINT (-86.844516 32.756889)
KANSAS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20210222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20210234,POINT (-79.130883 35.52603)
NEW JERSEY,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20210210,POINT (-74.655514 40.110253)
EAST NORTH CENTRAL,2021,2,,-,0,,,-,,-,,-,4,,,-,4,,,EAST NORTH CENTRAL,20210214,
TENNESSEE,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20210242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20210203,POINT (-72.738288 41.575155)
MARYLAND,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,MARYLAND,,20210233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20210235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20210246,POINT (-97.508297 35.583449)
OHIO,2021,2,,-,0,,,-,,-,,-,4,,,-,2,,OHIO,,20210218,POINT (-82.70936 40.415534)
NEW ENGLAND,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20210102,
MAINE,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20210104,POINT (-69.06137 45.117911)
RHODE ISLAND,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574)
MIDDLE ATLANTIC,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20210109,
NEW YORK,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241)
EAST NORTH CENTRAL,2021,1,,-,0,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL,20210114,
INDIANA,2021,1,,-,0,,,-,,-,,-,1,,,-,1,,INDIANA,,20210116,POINT (-86.2818 39.919991)
MICHIGAN,2021,1,,-,0,,,-,,-,,-,3,,,-,,-,MICHIGAN,,20210117,POINT (-85.730977 44.874798)
WISCONSIN,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,WISCONSIN,,20210119,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2021,1,,-,0,,,-,,-,,-,6,,,-,1,,,WEST NORTH CENTRAL,20210120,
IOWA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20210121,POINT (-93.500061 42.074659)
MISSOURI,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,MISSOURI,,20210124,POINT (-92.477244 38.3675)
NORTH DAKOTA,2021,1,,-,0,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,20210126,POINT (-100.46931 47.446305)
MINNESOTA,2021,2,,-,0,,,-,,-,,-,5,,,-,,-,MINNESOTA,,20210223,POINT (-94.198308 46.349153)
LOUISIANA,2021,2,,-,0,,,-,,-,,-,1,,,-,1,,LOUISIANA,,20210245,POINT (-91.840238 30.921314)
SOUTH ATLANTIC,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,20210228,
PENNSYLVANIA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20210213,POINT (-77.838886 40.896694)
COLORADO,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20210250,POINT (-105.547832 38.998552)
VERMONT,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20210208,POINT (-72.662695 44.075252)
KENTUCKY,2021,2,,-,0,,,-,,-,,-,1,,,-,1,,KENTUCKY,,20210240,POINT (-85.290484 37.526683)
MAINE,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20210204,POINT (-69.06137 45.117911)
VIRGINIA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20210236,POINT (-78.666382 37.510861)
ARIZONA,2021,2,,-,0,,,-,,-,343,,385,,639,,341,,ARIZONA,,20210249,POINT (-111.664616 34.293239)
WISCONSIN,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,WISCONSIN,,20210219,POINT (-89.732969 44.639954)
DELAWARE,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20210129,POINT (-75.452394 38.994926)
FLORIDA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20210131,POINT (-82.420978 28.260731)
MARYLAND,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,MARYLAND,,20210133,POINT (-76.687282 38.946466)
NORTH CAROLINA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20210134,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20210135,POINT (-80.864614 33.878572)
VIRGINIA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20210136,POINT (-78.666382 37.510861)
WEST VIRGINIA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20210137,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20210138,
ALABAMA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20210139,POINT (-86.844516 32.756889)
KENTUCKY,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20210140,POINT (-85.290484 37.526683)
MISSISSIPPI,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20210141,POINT (-89.65344 32.713378)
TENNESSEE,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20210142,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2021,1,,-,0,,,-,,-,1,,3,,1,,1,,,WEST SOUTH CENTRAL,20210143,
ARKANSAS,2021,1,,-,0,,,-,,-,1,,3,,1,,,-,ARKANSAS,,20210144,POINT (-92.439162 34.899825)
LOUISIANA,2021,1,,-,0,,,-,,-,,-,1,,,-,1,,LOUISIANA,,20210145,POINT (-91.840238 30.921314)
OKLAHOMA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20210146,POINT (-97.508297 35.583449)
TEXAS,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20210147,POINT (-99.317341 31.447238)
MOUNTAIN,2021,1,,-,1,,,-,,-,291,,387,,291,,154,,,MOUNTAIN,20210148,
ARIZONA,2021,1,,-,0,,,-,,-,291,,385,,291,,152,,ARIZONA,,20210149,POINT (-111.664616 34.293239)
COLORADO,2021,1,,-,1,,,-,,-,,N,,NC,,N,,N,COLORADO,,20210150,POINT (-105.547832 38.998552)
IDAHO,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20210151,POINT (-114.659366 44.389073)
MONTANA,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,MONTANA,,20210152,POINT (-109.645127 47.033521)
NEVADA,2021,1,,-,0,,,-,,-,,-,3,,,-,1,,NEVADA,,20210153,POINT (-114.916992 39.283294)
NEW MEXICO,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20210154,POINT (-106.108388 34.421369)
UTAH,2021,1,,-,0,,,-,,-,,-,3,,,-,1,,UTAH,,20210155,POINT (-111.678222 39.323779)
WYOMING,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20210156,POINT (-107.55145 42.999627)
PACIFIC,2021,1,,-,1,,,-,,-,2,,58,,2,,28,,,PACIFIC,20210157,
ALASKA,2021,1,,-,1,,,-,,-,,N,,NC,,N,,N,ALASKA,,20210158,POINT (-151.631889 63.631126)
CALIFORNIA,2021,1,,-,0,,,-,,-,2,,58,,2,,28,,CALIFORNIA,,20210159,POINT (-119.662127 37.211164)
HAWAII,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20210160,POINT (-157.854309 21.361013)
OREGON,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,OREGON,,20210161,POINT (-120.605279 43.940449)
WASHINGTON,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20210162,POINT (-120.592492 47.411715)
US TERRITORIES,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210163,
AMERICAN SAMOA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20210164,
NORTHERN MARIANA ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210165,POINT (145.725693 15.1834)
GUAM,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210166,POINT (144.653198 13.3532)
PUERTO RICO,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20210167,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210168,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20210169,
TOTAL,2021,1,,-,1,,,-,,-,294,,425,,294,,186,,,TOTAL,20210170,
IDAHO,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20210251,POINT (-114.659366 44.389073)
MICHIGAN,2021,2,,-,0,,,-,,-,,-,3,,,-,1,,MICHIGAN,,20210217,POINT (-85.730977 44.874798)
GEORGIA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20210232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20210212,
