Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
ALASKA,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20192758
CALIFORNIA,2019,27,,-,1,,,-,1,,7,,229,,3571,,4050,,"CALIFORNIA
(37.211164, -119.662127)",,20192759
HAWAII,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20192760
OREGON,2019,27,,-,0,,,-,,-,,-,1,,2,,6,,"OREGON
(43.940449, -120.605279)",,20192761
WASHINGTON,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20192762
US TERRITORIES,2019,27,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192763
AMERICAN SAMOA,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20192764
NORTHERN MARIANA ISLANDS,2019,27,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192765
GUAM,2019,27,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192766
PUERTO RICO,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20192767
U.S. VIRGIN ISLANDS,2019,27,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192768
NON-US RESIDENTS,2019,27,,-,,NC,,-,,NP,,-,,NC,1,,,NP,,NON-US RESIDENTS,20192769
TOTAL,2019,27,,-,2,,1,,4,,185,,452,,8572,,8497,,,TOTAL,20192770
US RESIDENTS,2019,28,,-,2,,1,,4,,205,,452,,8905,,8643,,,US RESIDENTS,20192801
NEW ENGLAND,2019,28,,-,0,,,-,,-,,-,1,,,-,3,,,NEW ENGLAND,20192802
CONNECTICUT,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20192803
MAINE,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20192804
MASSACHUSETTS,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20192805
NEW HAMPSHIRE,2019,28,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192806
RHODE ISLAND,2019,28,,-,0,,,-,,-,,-,1,,,-,2,,"RHODE ISLAND
(41.572574, -71.534637)",,20192807
VERMONT,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20192808
MIDDLE ATLANTIC,2019,28,,-,1,,,-,2,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192809
NEW JERSEY,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20192810
NEW YORK,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192811
NEW YORK CITY,2019,28,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20192812
PENNSYLVANIA,2019,28,,-,0,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20192813
EAST NORTH CENTRAL,2019,28,,-,1,,1,,,-,1,,4,,23,,59,,,EAST NORTH CENTRAL,20192814
ILLINOIS,2019,28,,-,1,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20192815
INDIANA,2019,28,,-,0,,,-,,-,,-,1,,,-,3,,"INDIANA
(39.919991, -86.2818)",,20192816
MICHIGAN,2019,28,,-,1,,1,,,-,,-,4,,14,,20,,"MICHIGAN
(44.874798, -85.730977)",,20192817
OHIO,2019,28,,-,0,,,-,,-,1,,2,,8,,18,,"OHIO
(40.415534, -82.70936)",,20192818
WISCONSIN,2019,28,,-,0,,,-,,-,,-,2,,1,,18,,"WISCONSIN
(44.639954, -89.732969)",,20192819
WEST NORTH CENTRAL,2019,28,,-,0,,,-,,-,4,,6,,73,,84,,,WEST NORTH CENTRAL,20192820
IOWA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20192821
KANSAS,2019,28,,-,0,,,-,,-,,-,1,,,-,3,,"KANSAS
(38.484729, -98.38018)",,20192822
MINNESOTA,2019,28,,-,0,,,-,,-,4,,5,,53,,57,,"MINNESOTA
(46.349153, -94.198308)",,20192823
MISSOURI,2019,28,,-,0,,,-,,-,,-,2,,11,,19,,"MISSOURI
(38.3675, -92.477244)",,20192824
NEBRASKA,2019,28,,-,0,,,-,,-,,-,1,,4,,4,,"NEBRASKA
(41.527099, -99.810595)",,20192825
NORTH DAKOTA,2019,28,,-,0,,,-,,-,,-,1,,1,,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20192826
SOUTH DAKOTA,2019,28,,-,0,,,-,,-,,-,1,,4,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192827
SOUTH ATLANTIC,2019,28,,-,1,,,-,,-,,-,1,,6,,3,,,SOUTH ATLANTIC,20192828
DELAWARE,2019,28,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192829
DISTRICT OF COLUMBIA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192830
FLORIDA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20192831
GEORGIA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20192832
MARYLAND,2019,28,,-,0,,,-,,-,,-,1,,6,,3,,"MARYLAND
(38.946466, -76.687282)",,20192833
NORTH CAROLINA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20192834
SOUTH CAROLINA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192835
VIRGINIA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20192836
WEST VIRGINIA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20192837
EAST SOUTH CENTRAL,2019,28,,-,0,,,-,,-,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20192838
ALABAMA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20192839
KENTUCKY,2019,28,,-,0,,,-,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20192840
MISSISSIPPI,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20192841
TENNESSEE,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20192842
WEST SOUTH CENTRAL,2019,28,,-,1,,,-,1,,,-,2,,8,,14,,,WEST SOUTH CENTRAL,20192843
ARKANSAS,2019,28,,-,0,,,-,,-,,-,1,,6,,4,,"ARKANSAS
(34.899825, -92.439162)",,20192844
LOUISIANA,2019,28,,-,1,,,-,1,,,-,2,,2,,10,,"LOUISIANA
(30.921314, -91.840238)",,20192845
OKLAHOMA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20192846
TEXAS,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20192847
MOUNTAIN,2019,28,,-,1,,,-,,-,185,,287,,5097,,4440,,,MOUNTAIN,20192848
ARIZONA,2019,28,,-,1,,,-,,-,185,,284,,5041,,4243,,"ARIZONA
(34.293239, -111.664616)",,20192849
COLORADO,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20192850
IDAHO,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20192851
